price,date,lag_1,lag_2,lag_3,day_of_week,month,is_weekend
17800,2024-04-13 14:09:47,20000.0,19960.0,19940.0,5,4,1
20020,2024-04-14 12:35:16,17800.0,20000.0,19960.0,6,4,1
17800,2024-04-16 10:11:43,20020.0,17800.0,20000.0,1,4,0
20120,2024-04-20 04:28:41,17800.0,20020.0,17800.0,5,4,1
17800,2024-04-21 02:21:32,20120.0,17800.0,20020.0,6,4,1
20820,2024-04-22 01:30:11,17800.0,20120.0,17800.0,0,4,0
20860,2024-04-25 07:26:08,20820.0,17800.0,20120.0,3,4,0
20880,2024-04-25 12:33:11,20860.0,20820.0,17800.0,3,4,0
17800,2024-04-26 07:54:23,20880.0,20860.0,20820.0,4,4,0
20400,2024-04-29 06:57:06,17800.0,20880.0,20860.0,0,4,0
20840,2024-04-30 05:31:23,20400.0,17800.0,20880.0,1,4,0
20860,2024-04-30 11:37:40,20840.0,20400.0,17800.0,1,4,0
20860,2024-04-30 16:49:00,20860.0,20840.0,20400.0,1,4,0
20860,2024-04-30 16:49:00,20860.0,20860.0,20840.0,1,4,0
18480,2024-05-08 17:38:34,20860.0,20860.0,20860.0,2,5,0
18480,2024-05-08 17:38:34,18480.0,20860.0,20860.0,2,5,0
19620,2024-05-09 08:55:55,18480.0,18480.0,20860.0,3,5,0
17500,2024-05-12 07:05:42,19620.0,18480.0,18480.0,6,5,1
19620,2024-05-13 10:31:49,17500.0,19620.0,18480.0,0,5,0
18560,2024-05-16 08:33:11,19620.0,17500.0,19620.0,3,5,0
17880,2024-05-16 20:41:26,18560.0,19620.0,17500.0,3,5,0
18810,2024-05-17 11:57:13,17880.0,18560.0,19620.0,4,5,0
19620,2024-05-18 00:11:38,18810.0,17880.0,18560.0,5,5,1
17500,2024-05-19 17:54:16,19620.0,18810.0,17880.0,6,5,1
19620,2024-05-20 08:52:34,17500.0,19620.0,18810.0,0,5,0
19420,2024-05-20 20:40:27,19620.0,17500.0,19620.0,0,5,0
19900,2024-05-21 13:00:48,19420.0,19620.0,17500.0,1,5,0
20020,2024-05-23 13:34:33,19900.0,19420.0,19620.0,3,5,0
17500,2024-05-24 09:46:12,20020.0,19900.0,19420.0,4,5,0
20020,2024-05-25 07:03:24,17500.0,20020.0,19900.0,5,5,1
20020,2024-05-27 22:17:53,20020.0,17500.0,20020.0,0,5,0
20020,2024-05-27 22:17:53,20020.0,20020.0,17500.0,0,5,0
20020,2024-05-28 14:26:46,20020.0,20020.0,20020.0,1,5,0
20020,2024-05-28 14:26:46,20020.0,20020.0,20020.0,1,5,0
17500,2024-05-29 07:09:38,20020.0,20020.0,20020.0,2,5,0
19860,2024-05-30 11:15:34,17500.0,20020.0,20020.0,3,5,0
19890,2024-05-31 17:40:33,19860.0,17500.0,20020.0,4,5,0
17500,2024-06-01 10:20:09,19890.0,19860.0,17500.0,5,6,1
19840,2024-06-02 17:01:32,17500.0,19890.0,19860.0,6,6,1
19770,2024-06-03 09:44:24,19840.0,17500.0,19890.0,0,6,0
19350,2024-06-03 23:38:05,19770.0,19840.0,17500.0,0,6,0
19350,2024-06-03 23:38:05,19350.0,19770.0,19840.0,0,6,0
19820,2024-06-04 14:55:29,19350.0,19350.0,19770.0,1,6,0
19840,2024-06-05 06:29:18,19820.0,19350.0,19350.0,2,6,0
19840,2024-06-05 06:29:18,19840.0,19820.0,19350.0,2,6,0
19270,2024-06-05 20:28:28,19840.0,19840.0,19820.0,2,6,0
17500,2024-06-06 12:20:44,19270.0,19840.0,19840.0,3,6,0
19360,2024-06-07 16:55:19,17500.0,19270.0,19840.0,4,6,0
17500,2024-06-08 08:47:15,19360.0,17500.0,19270.0,5,6,1
18750,2024-06-09 13:24:18,17500.0,19360.0,17500.0,6,6,1
18750,2024-06-09 13:24:18,18750.0,17500.0,19360.0,6,6,1
19460,2024-06-10 03:57:54,18750.0,18750.0,17500.0,0,6,0
19460,2024-06-10 03:57:54,19460.0,18750.0,18750.0,0,6,0
19350,2024-06-10 18:06:32,19460.0,19460.0,18750.0,0,6,0
19480,2024-06-11 09:57:55,19350.0,19460.0,19460.0,1,6,0
